Time (UTC),Message Type,Repeat Indicator,MMSI,AIS Version,IMO Number,Call Sign,Vessel Name,Ship Type,Dimension to Bow,Dimension to Stern,Dimension to Port,Dimestion to Starboard,Position Fix Type,ETA month (UTC),ETA day (UTC),ETA hour (UTC),ETA minute (UTC),Draught,Destination,DTE,Spare
120944,5,0,563498000,0,9234111,S6HU4  ,APL JEDDAH          ,70,190,17,10,19,1,5,13,6,45,9.399999618530273,JP TYO              ,0,0
120948,5,0,431401616,0,9207493,JK5574 ,TAIZANMARU          ,70,64,12,5,7,1,5,15,5,0,4.199999809265137,>JP KSM NW          ,0,0
120953,5,0,371794000,1,9606493,3EYT9  ,HAYATE              ,70,104,15,6,16,1,5,14,8,0,5.199999809265137,JP KZU OFF          ,0,0
120954,5,0,431000435,0,9459589,JD2540 ,NO.5 OOZUMARU       ,80,61,12,3,9,1,5,14,11,0,3.4000000953674316,>JP KWS SG 5        ,0,0
121004,5,0,431501723,0,9276274,JL6688 ,SHURI               ,70,44,123,19,5,1,5,15,14,0,6.400000095367432,>JP OSA F-7         ,0,0
121013,5,0,431000671,0,0,JK5360 ,SINKOU MARU         ,0,42,10,3,10,1,5,14,19,30,2.0,>JP KZU             ,0,0
121017,5,0,431328000,1,9767675,7JVV   ,SHINYO MARU         ,90,35,29,6,6,1,4,14,5,0,4.599999904632568,JP TYO H            ,0,0
054824,5,0,356565000,0,9444261,3EOJ7  ,MOL PREMIUM         ,70,220,73,14,26,1,5,14,5,5,13.5,JPTYO               ,0,0
054834,5,0,431315000,0,9339662,7JWL   ,MOL COMPETENCE      ,71,227,89,31,15,1,5,13,19,30,11.300000190734863,JP TYO              ,0,0
054834,5,0,431560000,1,9237838,JPBN   ,KEIFU MARU          ,99,24,57,2,12,1,5,12,1,0,4.5,>JP TYO A           ,0,0
054849,5,0,431006206,1,0,JD3817 , MUSASHI            ,52,13,24,4,6,15,4,16,8,30,2.799999952316284,>JP TYO H           ,0,0
054858,5,0,431000377,0,0,JD2498 ,ASAHI               ,52,13,24,2,7,1,4,16,8,30,3.700000047683716,SHIBAURA            ,0,0
054902,5,0,477585300,1,9666871,VRNW8  ,MILD JAZZ           ,70,131,17,16,7,15,5,14,7,0,7.900000095367432,>JP TYO R           ,0,0
054909,5,0,431501764,0,9284219,JL6711 ,SUNFLOWER HAKATA    ,70,42,125,14,13,1,5,16,5,30,6.599999904632568,JP HKT P W/M        ,0,0
054922,5,0,431005882,1,0,JD3758 ,HINODE MARU         ,52,11,22,3,9,1,0,0,24,60,3.799999952316284,@@@@@@@@@@@@@@@@@@@@,0,0
054933,5,0,565616000,1,9365673,S6BK8  ,MITRA BHUM          ,70,137,11,9,14,1,5,14,9,0,8.100000381469727,JP TYO S            ,0,0
054946,5,0,431010248,2,9806184,JD4230 ,HIMAWARI 9          ,79,47,120,13,14,0,5,14,7,0,6.800000190734863,>JP TYO C           ,0,0
054949,5,0,431010701,2,0,JD4284 ,OHYAMA MARU         ,52,16,24,8,4,15,0,0,24,60,3.799999952316284,TYO                 ,0,0
054952,5,0,563498000,0,9234111,S6HU4  ,APL JEDDAH          ,70,190,17,10,19,1,5,13,6,45,9.399999618530273,JP TYO              ,0,0
054955,5,0,370014000,0,9146297,3ERD6  ,HEUNG A JAKARTA     ,0,112,28,10,10,1,5,14,7,53,7.5,JP TOK S            ,0,0
055013,5,0,371580000,0,9362798,3EDI7  ,SEVEN PHOENIX       ,81,65,15,8,5,1,5,14,13,0,4.800000190734863,JP CHB OF F         ,0,0
055025,5,0,636016207,0,9641388,D5EZ9  ,REIHOU              ,79,207,33,25,18,1,5,14,0,30,8.100000381469727,JP CHB XX           ,0,0
