day,epfd_text(fix_type),fix_type,hour,id,minute,mmsi,month,position_accuracy,raim,received_stations,repeat_indicator,second,slot_number,slot_offset,slot_timeout,spare,sync_state,transmission_ctl,type,utc,utc_hour,utc_min,utc_spare,x,y,year
14,Surveyed,7,5,4,48,4310304,5,0,False,,0,19,752,,4,0,0,0,4,2018-05-11T05:48:20Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,48,4310304,5,0,False,312,0,29,,,3,0,0,0,4,2018-05-11T05:48:30Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,48,4310304,5,0,False,,0,39,1502,,2,0,0,0,4,2018-05-11T05:48:40Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,49,4310304,5,0,False,,0,59,,,1,0,0,0,4,2018-05-11T05:50:00Z,5,49,0,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,50,4310304,5,0,False,,0,9,,,1,0,0,0,4,2018-05-11T05:50:10Z,5,50,0,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,50,4310303,5,0,False,440,0,29,,,3,0,0,0,4,2018-05-11T05:50:30Z,,,,139.689595,35.43902666666666,2018
14,Surveyed,7,5,4,50,4310304,5,0,False,,0,29,,,1,0,0,0,4,2018-05-11T05:50:30Z,5,50,0,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,50,4310304,5,0,False,,0,49,,,1,0,0,0,4,2018-05-11T05:50:50Z,5,50,0,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,50,4310304,5,0,False,,0,59,,2250,0,0,0,0,4,2018-05-11T05:51:00Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,51,4310304,5,0,False,,0,9,,2250,0,0,0,0,4,2018-05-11T05:51:10Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,51,4310303,5,0,False,418,0,19,,,5,0,0,0,4,2018-05-11T05:51:20Z,,,,139.689595,35.43902666666666,2018
14,Surveyed,7,5,4,51,4310304,5,0,False,,0,19,,,1,0,0,0,4,2018-05-11T05:51:20Z,5,51,0,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,51,4310304,5,0,False,,0,29,,2250,0,0,0,0,4,2018-05-11T05:51:30Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,51,4310304,5,0,False,,0,39,1502,,6,0,0,0,4,2018-05-11T05:51:40Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,51,4310304,5,0,False,,0,49,,2250,0,0,0,0,4,2018-05-11T05:51:50Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,51,4310304,5,0,False,356,0,59,,,7,0,0,0,4,2018-05-11T05:52:00Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,52,4310304,5,0,False,364,0,9,,,5,0,0,0,4,2018-05-11T05:52:10Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,52,4310303,5,0,False,,0,19,751,,4,0,0,0,4,2018-05-11T05:52:20Z,,,,139.689595,35.43902666666666,2018
14,Surveyed,7,5,4,52,4310304,5,0,False,,0,19,,2250,0,0,0,0,4,2018-05-11T05:52:20Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,52,4310304,5,0,False,,0,29,1127,,6,0,0,0,4,2018-05-11T05:52:30Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,52,4310304,5,0,False,340,0,39,,,5,0,0,0,4,2018-05-11T05:52:40Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,52,4310304,5,0,False,353,0,49,,,5,0,0,0,4,2018-05-11T05:52:50Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,52,4310304,5,0,False,,0,59,2,,6,0,0,0,4,2018-05-11T05:53:00Z,,,,139.89748,35.61707666666667,2018
14,Surveyed,7,5,4,53,4310304,5,0,False,358,0,59,,,5,0,0,0,4,2018-05-11T05:54:00Z,,,,139.89748,35.61707666666667,2018
