ais_version,callsign,destination,dim_a,dim_b,dim_c,dim_d,draught,dte,epfd_text(fix_type),eta_day,eta_hour,eta_minute,eta_month,fix_type,id,imo_num,mmsi,name,repeat_indicator,shiptype_text(type_and_cargo),spare,type,type_and_cargo,utc
0,3EOJ7  ,JPTYO               ,220,73,14,26,13.5,0,GPS,14,5,5,5,1,5,9444261,356565000,MOL PREMIUM         ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:48:25Z
0,7JWL   ,JP TYO              ,227,89,31,15,11.300000190734863,0,GPS,13,19,30,5,1,5,9339662,431315000,MOL COMPETENCE      ,0,"Cargo, Hazardous category A",0,5,71,2018-05-11T05:48:34Z
1,JPBN   ,>JP TYO A           ,24,57,2,12,4.5,0,GPS,12,1,0,5,1,5,9237838,431560000,KEIFU MARU          ,0,"Other Type, no additional information",0,5,99,2018-05-11T05:48:35Z
0,JD2498 ,SHIBAURA            ,13,24,2,7,3.700000047683716,0,GPS,16,8,30,4,1,5,0,431000377,ASAHI               ,0,Tug,0,5,52,2018-05-11T05:48:58Z
0,JL6711 ,JP HKT P W/M        ,42,125,14,13,6.599999904632568,0,GPS,16,5,30,5,1,5,9284219,431501764,SUNFLOWER HAKATA    ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:49:10Z
1,JD3758 ,@@@@@@@@@@@@@@@@@@@@,11,22,3,9,3.799999952316284,0,GPS,0,24,60,0,1,5,0,431005882,HINODE MARU         ,0,Tug,0,5,52,2018-05-11T05:49:23Z
1,S6BK8  ,JP TYO S            ,137,11,9,14,8.100000381469727,0,GPS,14,9,0,5,1,5,9365673,565616000,MITRA BHUM          ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:49:34Z
2,JD4230 ,>JP TYO C           ,47,120,13,14,6.800000190734863,0,Undefined,14,7,0,5,0,5,9806184,431010248,HIMAWARI 9          ,0,"Cargo, No additional information",0,5,79,2018-05-11T05:49:47Z
0,S6HU4  ,JP TYO              ,190,17,10,19,9.399999618530273,0,GPS,13,6,45,5,1,5,9234111,563498000,APL JEDDAH          ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:49:52Z
0,3ERD6  ,JP TOK S            ,112,28,10,10,7.5,0,GPS,14,7,53,5,1,5,9146297,370014000,HEUNG A JAKARTA     ,0,Not available,0,5,0,2018-05-11T05:49:56Z
0,3EDI7  ,JP CHB OF F         ,65,15,8,5,4.800000190734863,0,GPS,14,13,0,5,1,5,9362798,371580000,SEVEN PHOENIX       ,0,"Tanker, Hazardous category A",0,5,81,2018-05-11T05:50:14Z
0,D5EZ9  ,JP CHB XX           ,207,33,25,18,8.100000381469727,0,GPS,14,0,30,5,1,5,9641388,636016207,REIHOU              ,0,"Cargo, No additional information",0,5,79,2018-05-11T05:50:26Z
0,VRMM6  ,CHIBA JAPAN         ,151,29,22,8,9.0,0,GPS,12,9,30,5,1,5,9610688,477652700,JERVIS BAY          ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:50:30Z
1,JD2272 ,@@@@@@@@@@@@@@@@@@@@,13,25,4,8,0.0,0,GPS,0,24,60,0,1,5,0,431101146,KACHIDOKI MARU      ,0,Pilot Vessel,0,5,50,2018-05-11T05:50:34Z
1,JG5666 ,@@@@@@@@@@@@@@@@@@@@,15,25,3,9,4.0,0,GPS,4,10,0,12,1,5,0,431100997,TOKYO MARU          ,0,Tug,0,5,52,2018-05-11T05:50:37Z
0,JPIS   ,>JP TOKYO OFF       ,45,58,8,7,5.599999904632568,0,GPS,15,1,0,5,1,5,9218246,432307000,DAISEN              ,0,Search and Rescue vessel,0,5,51,2018-05-11T05:51:10Z
0,JD2067 ,TOKYO               ,11,25,5,7,3.200000047683716,0,GPS,0,24,60,0,1,5,0,431001455,KAIO MARU           ,0,Tug,0,5,52,2018-05-11T05:51:20Z
0,3EFA8  ,JP TYO              ,97,19,15,5,4.800000190734863,0,GPS,12,16,35,5,1,5,9334973,371984000,MARINE EMERALD      ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:51:28Z
0,JNZD   ,JP TYO L            ,101,26,11,11,7.099999904632568,0,GPS,14,22,30,5,1,5,9209568,431100871,PACIFIC SEAGULL     ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:51:45Z
0,JG5131 ,>JP TYO H           ,28,55,7,6,3.200000047683716,0,GLONASS,14,15,50,5,2,5,0,431000424,SYMPHONY MODERNA    ,0,"Passenger, No additional information",0,5,69,2018-05-11T05:52:01Z
1,JD3052 ,>JP KSM NE          ,67,16,5,8,5.0,0,GPS,15,10,0,5,1,5,9572537,431001305,TETSURYU MARU       ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:52:04Z
0,JG5131 ,>JP TYO H           ,28,55,7,6,3.200000047683716,0,GLONASS,14,15,50,5,2,5,0,431000424,SYMPHONY MODERNA    ,0,"Passenger, No additional information",0,5,69,2018-05-11T05:52:05Z
0,2ACU6  ,JP YOK DN           ,24,176,10,22,7.599999904632568,0,Undefined,14,5,25,5,0,5,938494200,235058697,ZENITH LEADER       ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:52:07Z
1,JG5621 ,SHIBAURA            ,14,26,4,7,3.4000000953674316,0,GPS,14,9,0,5,1,5,0,431100926,OHI                 ,0,Tug,0,5,52,2018-05-11T05:52:12Z
0,9V5456 ,SGSGP               ,246,92,15,31,10.899999618530273,0,Undefined,21,6,0,5,0,5,9312810,563025600,NYK VIRGO           ,0,"Cargo, Hazardous category A",0,5,71,2018-05-11T05:52:14Z
0,JG4644 ,>JP TYO H           ,15,34,4,6,3.0,0,GPS,10,14,0,5,1,5,8608561,431100037,SHIOJI MARU         ,0,"Other Type, all ships of this type",0,5,90,2018-05-11T05:52:25Z
2,JD3965 ,JP TKX              ,48,143,11,16,7.099999904632568,0,GPS,15,4,20,5,1,5,0,431007575,FERRY SHIMANTO      ,0,"Passenger, all ships of this type",0,5,60,2018-05-11T05:52:33Z
1,JM5763 ,JP TYO L            ,94,20,14,4,6.800000190734863,0,GPS,13,22,30,5,1,5,8817095,431400651,EASTERN ACE         ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:52:36Z
1,3FSZ4  ,JP-UKB              ,196,71,27,9,10.899999618530273,0,GPS,15,4,0,5,1,5,9463310,354362000,BRUSSELS BRIDGE     ,0,"Cargo, all ships of this type",0,5,70,2018-05-11T05:52:40Z
0,JD2030 ,TOKYO               ,19,19,6,6,4.400000095367432,0,GPS,0,24,60,0,1,5,0,431001102,FUJI MARU           ,0,Tug,0,5,52,2018-05-11T05:52:47Z
0,JG4912 ,>JP TYO H           ,18,47,3,10,2.700000047683716,0,GPS,14,9,20,5,1,5,8901717,431000431,VINGTETUN           ,0,"Passenger, all ships of this type",0,5,60,2018-05-11T05:52:52Z
